title,authors
"Joint Extraction of Events and Entities within a Document Context","Bishan Yang and Tom Mitchell"
"A Hierarchical Distance-dependent Bayesian Model for Event Coreference Resolution","Bishan Yang, Claire Cardie and Peter Frazier"
"Joint Event Extraction via Recurrent Neural Networks","Thien Huu Nguyen, Kyunghyun Cho and Ralph Grishman"
