title,authors
End-to-End Argumentation Mining in Student Essays,Isaac Persing and Vincent Ng
Cross-Domain Mining of Argumentative Text through Distant Supervision,"Khalid Al Khatib, Henning Wachsmuth, Matthias Hagen, Jonas K&ouml;hler and Benno Stein"
A Study of the Impact of Persuasive Argumentation in Political Debates,Amparo Elizabeth Cano Basave and Yulan Hu
Lexical Coherence Graph Modeling Using Word Embeddings,Mohsen Mesgar and Michael Strube
Using Context to Predict the Purpose of Argumentative Writing Revisions,Fan Zhang and Diane Litman
