title,authors
"Top-down Tree Long Short-Term Memory Networks","Xingxing Zhang, Liang Lu, Mirella Lapata"
"Recurrent Memory Netowrks for Language Modeling","Ke Tran, Arianna Bisazza, Christof Monz"
"A Latent Variable Recurrent Neural Network for Discourse-Driven Language Models","Yangfeng Ji, Gholamreza Haffari, Jacob Eisenstein"
