title,authors
Embedding Lexical Features via Low-Rank Tensors,"Mo Yu, Mark Dredze, Raman Arora and Matthew R. Gormley"
The Role of Context Types and Dimensionality in Learning Word Embeddings,"Oren Melamud, David McClosky, Siddharth Patwardhan and Mohit Bansal"
Improve Chinese Word Embeddings by Exploiting Internal Structure,"Jian Xu, Jiawei Liu, Liangang Zhang, Zhengyu Li and Huanhuan Chen"
