title,authors
Weighting Finite-State Transductions With Neural Context,"Pushpendre Rastogi, Ryan Cotterell and Jason Eisner"
Morphological Inflection Generation Using Character Sequence to Sequence Learning,"Manaal Faruqui, Yulia Tsvetkov, Graham Neubig and Chris Dyer"
Towards Unsupervised and Language-independent Compound Splitting using Inflectional Morphological Transformations,"Patrick Ziering and Lonneke van der Plas"
Phonological Pun-derstanding,"Aaron Jaech, Rik Koncel-Kedziorski and Mari Ostendorf"
A Joint Model of Orthography and Morphological Segmentation,"Ryan Cotterell, Tim Vieira and Hinrich Schütze"
