title,authors
"Grounded Semantic Role Labeling","Shaohua Yang, Qiaozi Gao, Changsong Liu, Caiming Xiong, Song-Chun Zhu and Joyce Chai"
"Black Holes and White Rabbits: Metaphor Identification with Visual Features","Ekaterina Shutova, Douwe Kiela and Jean Maillard"
"Bridge Correlational Neural Networks for Multilingual Multimodal Representation Learning","Janarthanan Rajendran, Mitesh M Khapra, Sarath Chandar and Balaraman Ravindran"
"Unsupervised Visual Sense Disambiguation for Verbs using Multimodal Embeddings","Spandana Gella, Mirella Lapata and Frank Keller"
"Stating the Obvious: Extracting Visual Common Sense Knowledge","Mark Yatskar, Vicente Ordonez and Ali Farhadi"
