title,authors
Concept Grounding to Multiple Knowledge Bases via Indirect Supervision,Chen-Tse Tsai and Dan Roth
Mapping Verbs in Different Languages to Knowledge Base Relations using Web Text as Interlingua,Derry Tanti Wijaya and Tom Mitchell
Comparing Convolutional Neural Networks to Traditional Models for Slot Filling,"Heike Adel, Benjamin Roth and Hinrich Schütze"
A Corpus and Cloze Evaluation for Deeper Understanding of Commonsense Stories,"Nasrin Mostafazadeh, Nathanael Chambers, Xiaodong He, Devi Parikh, Dhruv Batra, Lucy Vanderwende, Pushmeet Kohli and James Allen"
Dynamic Entity Representation with Max-pooling Improves Machine Reading,"Sosuke Kobayashi, Ran Tian, Naoaki Okazaki and Kentaro Inui"
