title,authors
Ultradense Word Embeddings by Orthogonal Transformation Sascha Rothe,Sebastian Ebert and Hinrich Schütze
Separating Actor-View from Speaker-View Opinion Expressions using Linguistic Features,"Michael Wiegand, Marc Schulder and Josef Ruppenhofer"
Clustering for Simultaneous Extraction of Aspects and Features from Reviews,"Lu Chen, Justin Martineau, Doreen Cheng and Amit Sheth"
Opinion Holder and Target Extraction on Opinion Compounds -- A Linguistic Approach,"Michael Wiegand, Christine Bocionek and Josef Ruppenhofer"
Capturing Reliable Fine-Grained Sentiment Associations by Crowdsourcing and Best–Worst Scaling,Svetlana Kiritchenko and Saif Mohammad
