title,authors
Multilingual Language Processing From Bytes,"Daniel Gillick, Cliff Brunk, Oriol Vinyals and Amarnag Subramanya"
Ten Pairs to Tag -- Multilingual POS Tagging via Coarse Mapping between Embeddings,"Yuan Zhang, David Gaddy, Regina Barzilay and Tommi Jaakkola"
Part-of-Speech Tagging for Historical English,Yi Yang and Jacob Eisenstein
Statistical Modeling of Creole Genesis,Yugo Murawaki
Shallow Parsing Pipeline - Hindi-English Code-Mixed Social Media Text,"Arnav Sharma, Sakshi Gupta, Raveesh Motlani, Piyush Bansal, Manish Shrivastava, Radhika Mamidi and Dipti Sharma"
