title,authors
A Novel Approach to Dropped Pronoun Translation,"Longyue Wang, Zhaopeng Tu, Xiaojun Zhang, Hang Li, Andy Way and Qun Liu"
Learning Global Features for Coreference Resolution,"Sam Wiseman, Alexander M. Rush and Stuart Shieber"
Search Space Pruning: A Simple Solution for Better Coreference Resolvers,"Nafise Sadat Moosavi and Michael Strube"
Unsupervised Ranking Model for Entity Coreference Resolution,"Xuezhe Ma, Zhengzhong Liu and Eduard Hovy"
