title,authors
Hierarchical Attention Networks for Document Classification,"Zichao Yang, Diyi Yang, Chris Dyer, Xiaodong He, Alex Smola and Eduard Hovy"
Dependency Based Embeddings for Sentence Classification Tasks,"Alexandros Komninos and Suresh Manandhar"
Deep LSTM based Feature Mapping for Query Classification,"Yangyang Shi, Kaisheng Yao, Le Tian and Daxin Jiang"
Dependency Sensitive Convolutional Neural Networks for Modeling Sentences and Documents,"Rui Zhang, Honglak Lee and Dragomir Radev"
MGNC-CNN: A Simple Approach to Exploiting Multiple Word Embeddings for Sentence Classification,"Ye Zhang, Stephen Roller and Byron C. Wallace"
