title,authors
Questioning Arbitrariness in Language: a Data-Driven Study of Conventional Iconicity,Ekaterina Abramova and Raquel Fernandez
Distinguishing Literal and Non-Literal Usage of German Particle Verbs,Maximilian K&ouml;per and Sabine Schulte im Walde
Phrasal Substitution of Idiomatic Expressions,Changsheng Liu and Rebecca Hwa
