title,authors
What to talk about and how? Selective Generation using LSTMs with Coarse-to-Fine Alignment,"Hongyuan Mei, Mohit Bansal and Matthew Walter"
Generation from Abstract Meaning Representation using Tree Transducers,"Jeffrey Flanigan, Chris Dyer, Noah A. Smith and Jaime Carbonell"
A Corpus and Semantic Parser for Multilingual Natural Language Querying of OpenStreetMap,Carolin Haas and Stefan Riezler
Natural Language Communication with Robots,"Yonatan Bisk, Daniel Marcu and Deniz Yuret"
Inter-document Contextual Language model,"Quan Hung Tran, Ingrid Zukerman and Gholamreza Haffari"
