title,authors
A Joint Model for Answer Sentence Ranking and Answer Extraction,"Md Arafat Sultan, Vittorio Castelli and Radu Florian"
Convolutional Neural Networks vs. Convolution Kernels: Feature Engineering for Answer Sentence Reranking,"Kateryna Tymoshenko, Daniele Bonadiman and Alessandro Moschitti"
Semi-supervised Question Retrieval with Gated Convolutions,"Tao Lei, Hrishikesh Joshi, Regina Barzilay, Tommi Jaakkola, Kateryna Tymoshenko, Alessandro Moschitti and Lluís Màrquez"
Parsing Algebraic Word Problems into Equations,"Rik Koncel-Kedziorski, Hannaneh Hajishirzi, Ashish Sabharwal, oren etzioni and Siena Dumas Ang"
This is how we do it: Answer Reranking for Open-domain How Questions with Paragraph Vectors and Minimal Feature Engineering,Dasha Bogdanova and Jennifer Foster
