title,authors
Multilingual Relation Extraction using Compositional Universal Schema,"Patrick Verga, David Belanger, Emma Strubell, Benjamin Roth and Andrew McCallum"
Effective Crowd Annotation for Relation Extraction,"Angli Liu, Stephen Soderland, Jonathan Bragg, Christopher Lin, Xiao Ling and Daniel Weld"
A Translation-Based Knowledge Graph Embedding Preserving Logical Property of Relations,"Hee-Geun Yoon, Hyun-Je Song, Seong-Bae Park and Se-Young Park"
