title,authors
Syntactic Parsing of Web Queries with Question Intent,"Yuval Pinter, Roi Reichart and Idan Szpektor"
Visualizing and Understanding Neural Models in NLP,"Jiwei Li, Xinlei Chen, Eduard Hovy and Dan Jurafsky"
Bilingual Word Embeddings from Parallel and Non-parallel Corpora for Cross-Language Text Classification,"Aditya Mogadala and Achim Rettinger"
Joint Learning with Global Inference for Comment Classification in Community Question Answering,"Shafiq Joty, Lluís Màrquez and Preslav Nakov"
Weak Semi-Markov CRFs for Noun Phrase Chunking in Informal Text Aldrian, Obaja Muis and Wei Lu
