title,authors
An Attentional Model for Speech Translation Without Transcription,"Long Duong, Antonios Anastasopoulos, David Chiang, Steven Bird and Trevor Cohn"
Information Density and Quality Estimation Features as Translationese Indicators for Human Translation Classification,"Raphael Rubino, Ekaterina Lapshinova-Koltunski and Josef van Genabith"
Interpretese vs. Translationese: The Uniqueness of Human Strategies in Simultaneous Interpretation,"He He, Jordan Boyd-Graber and Hal Daumé III"
LSTM Neural Reordering Feature for Statistical Machine Translation,"Yiming Cui, Shijin Wang and Jianfeng Li"
