title,authors
DAG-Structured Long Short-Term Memory for Semantic Compositionality,"Xiaodan Zhu, Parinaz Sobhani and Hongyu Guo"
Bayesian Supervised Domain Adaptation for Short Text Similarity,"Md Arafat Sultan, Jordan Boyd-Graber and Tamara Sumner"
Pairwise Word Interaction Modeling with Deep Neural Networks for Semantic Similarity Measurement,Hua He and Jimmy Lin
