title,authors
"An Empirical Study of Automatic Chinese Word Segmentation for Spoken Language Understanding and Named Entity Recognition","Wencan Luo and Fan Yang"
"Name Tagging for Low-resource Incident Languages based on Expectation-driven Learning","Boliang Zhang, Xiaoman Pan, Tianlu Wang, Ashish Vaswani, Heng Ji, Kevin Knight and Daniel Marcu"
"Neural Architectures for Named Entity Recognition","Guillaume Lample, Miguel Ballesteros, Kazuya Kawakami, Sandeep Subramanian and Chris Dyer"
"Dynamic Feature Induction: The Last Gist to the State-of-the-Art","Jinho D. Choi"
"Drop-out Conditional Random Fields for Twitter with Huge Mined Gazetteer","Eun-Suk Yang, Young-Bum Kim, Ruhi Sarikaya and Yu-Seop Kim"
