title,authors
Bilingual Learning of Multi-sense Embeddings with Discrete Autoencoders,"Simon Suster, Ivan Titov and Gertjan van Noord"
Polyglot Neural Language Models: A Case Study in Cross-Lingual Phonetic Representation Learning,"Yulia Tsvetkov, Sunayana Sitaram, Manaal Faruqui, Guillaume Lample, Patrick Littell, David R. Mortensen, Alan W Black, Lori Levin and Chris Dyer"
Learning Distributed Representations of Sentences from Unlabelled Data,"Felix Hill, Kyunghyun Cho and Anna Korhonen"
Learning to Understand Phrases by Embedding the Dictionary,"Felix Hill, Kyunghyun Cho, Anna Korhonen and Yoshua Bengio"
Retrofitting Sense-Specific Word Vectors Using Parallel Text,"Allyson Ettinger, Philip Resnik and Marine Carpuat"
